variable,label,col_start,col_end,type,Topic B Possible Fields,Topic C Possible Fields
CVDINFR4,Ever Diagnosed with Heart Attack,138,138,num,,
CVDCRHD4,Ever Diagnosed with Angina or Coronary Heart Disease,139,139,num,,
CVDSTRK3,Ever Diagnosed with a Stroke,140,140,num,Chronic diseases,Health and chronic conditions
ASTHMA3,Ever Told Had Asthma,141,141,num,,
ASTHNOW,Still Have Asthma,142,142,num,,
CHCSCNC1,(Ever told) (you had) skin cancer that is not melanoma?,143,143,num,,
CHCOCNC1,(Ever told) (you had)  melanoma or any other types of cancer?,144,144,num,,
CHCCOPD3,Ever told you had C.O.P.D. emphysema or chronic bronchitis?,145,145,num,Chronic diseases,Health and chronic conditions
ADDEPEV3,(Ever told) you had a depressive disorder,146,146,num,,Health and chronic conditions
CHCKDNY2,Ever told you have kidney disease?,147,147,num,Chronic diseases,Health and chronic conditions
HAVARTH4,Told Had Arthritis,148,148,num,,
DIABETE4,(Ever told) you had diabetes,149,149,num,Chronic diseases,Health and chronic conditions
DIABAGE4,Age When First Told You Had Diabetes,150,151,num,,
MARITAL,Marital Status,186,186,num,Demographics,Demographics
EDUCA,Education Level,187,187,num,,
RENTHOM1,Own or Rent Home,188,188,num,,
NUMHHOL4,Household Landline Telephones,197,197,num,,
NUMPHON4,Residential Landline Phones,198,198,num,,
CPDEMO1C,Do you have a cell phone for your personal use?,199,199,num,,
VETERAN3,Are You A Veteran,200,200,num,,
EMPLOY1,Employment Status,201,201,num,Demographics,Demographics
CHILDREN,Number of Children in Household,202,203,num,,
INCOME3,Income Level,204,205,num,,
PREGNANT,Pregnancy Status,206,206,num,,
WEIGHT2,Reported Weight in Pounds,207,210,num,,
HEIGHT3,Reported Height in Feet and Inches,211,214,num,,
DEAF,Are you deaf or do you have serious difficulty hearing?,215,215,num,Disabilities,Disabilities
BLIND,Blind or Difficulty seeing,216,216,num,Disabilities,Disabilities
DECIDE,Difficulty Concentrating or Remembering,217,217,num,Disabilities,Disabilities
DIFFWALK,Difficulty Walking or Climbing Stairs,218,218,num,Disabilities,Disabilities
DIFFDRES,Difficulty Dressing or Bathing,219,219,num,Disabilities,Disabilities
DIFFALON,Difficulty Doing Errands Alone,220,220,num,Disabilities,Disabilities
HADMAM,Have You Ever Had a Mammogram,221,221,num,,
HOWLONG,How Long since Last Mammogram,222,222,num,,
CERVSCRN,Have you ever had a cervical cancer screening test?,223,223,num,,
CRVCLCNC,Time since last cervical cancer screening test,224,224,num,,
CRVCLPAP,Have a PAP test and recent cervical cancer screening,225,225,num,,
